Date,open,high,low,close
6/15/2023,849.1,851.7,838.6,843.7
6/16/2023,848.5,872.4,845.5,868.6
6/19/2023,863.4,865.3,852.2,853.4
6/20/2023,849.2,854.5,843.8,846
6/21/2023,842.4,847,833.7,838.3
6/22/2023,832.9,839.8,823.9,839.2
6/23/2023,836.5,838.1,825,830.1
6/26/2023,837.1,839.3,826.9,835
6/27/2023,839,848.3,833.2,839.6
6/28/2023,843.7,850.8,841.1,849.7
6/29/2023,850,864.9,848,855
6/30/2023,855.1,864.7,850.8,863
7/3/2023,862.5,862.9,847.7,854.9
7/4/2023,856.7,863.4,853.8,856.7
7/5/2023,848.9,854.9,845.1,847.5
7/6/2023,838,838.5,814.4,816
7/7/2023,820,832.5,814.6,825.4
7/10/2023,821.9,833.3,819.7,830.9
7/11/2023,840,853,837,849.3
7/12/2023,852.7,867.8,848.5,866.7
7/13/2023,874.3,884.5,869.8,877.3
7/14/2023,872.4,892.7,871.2,892.3
7/17/2023,865.6,869.5,848.1,859
7/18/2023,860.4,869.4,851,859.3
7/19/2023,870.1,871.3,846.1,850.4
7/20/2023,845.5,854.8,840.4,854
7/21/2023,856.1,867.9,852,867.9
7/24/2023,861,865.4,847,857.6
7/25/2023,864.4,870,853.3,854
7/26/2023,821,826.4,804.5,810
7/27/2023,820,842.2,816.9,840.3
7/28/2023,838,845,824.1,841.2
7/31/2023,840.8,852,838,848.1
8/1/2023,845,846.3,828.3,829
8/2/2023,813,828.7,810.6,813.5
8/3/2023,805,817.6,804,811.2
8/4/2023,816,818.4,807.3,816
8/7/2023,815.7,823,810.5,817.4
8/8/2023,814.2,817.6,803.7,807.2
8/9/2023,818,820.6,806.5,807
8/10/2023,815.2,839.4,813.4,834.7
8/11/2023,825.9,831.8,816.8,820.4
8/14/2023,817.3,823.1,811.4,816.2
8/15/2023,816.1,816.5,801,804.1
8/16/2023,802.8,810.6,801.5,802.9
8/17/2023,800,803.3,780.4,785.1
8/18/2023,784,784,764.3,776.9
8/21/2023,777.2,792.3,774.8,783.9
8/22/2023,788.7,797.7,785.9,790.2
8/23/2023,792.8,796.6,785.8,790.4
8/24/2023,798.9,803.7,782.5,783.7
8/25/2023,780,793.7,779.2,785.3
8/28/2023,795.3,801.3,787.1,798.5
8/29/2023,803,810,795.2,810
8/30/2023,815,815,796.4,804
8/31/2023,805,805,782.2,782.2
9/1/2023,781.5,790.2,772,775.8
9/4/2023,781,786.4,771.9,772.6
9/5/2023,767,768.7,755.1,759.1
9/6/2023,757.3,757.5,723.6,731.5
9/7/2023,731.3,737.9,722.1,724.1
9/8/2023,731.3,744.8,723,740
9/11/2023,742.7,747,738,742.2
9/12/2023,749,749,731.2,734.4
9/13/2023,731,737.1,726.6,729.6
9/14/2023,722,748.8,720.3,742.6
9/15/2023,759.4,772.4,757.4,761.2
9/18/2023,756,756,740.6,742.5
9/19/2023,738.2,745.6,731,736.8
9/20/2023,731.3,740.4,728.3,736.7
9/21/2023,726.3,738,723.2,729.3
9/22/2023,728.2,736.8,723.4,732.3
9/25/2023,728.2,732.7,709,713.3
9/26/2023,705,705.8,696.8,703
9/27/2023,704,708,697.3,698.7
9/28/2023,695,708.3,693.3,706
9/29/2023,722,732.6,716.4,716.4
10/2/2023,721,729.9,709.4,714.9
10/3/2023,709,718.7,705.1,705.3
10/4/2023,702.4,721.9,700.8,712.5
10/5/2023,715.6,723.3,713.3,720.6
10/6/2023,726,731.3,715.8,729.7
10/9/2023,724.9,724.9,707.7,710.7
10/10/2023,723,734.5,717.8,733.5
10/11/2023,691,699.2,671.5,686.1
10/12/2023,689.8,690.3,673.3,675
10/13/2023,675,679.7,658.3,660.6
10/16/2023,666.9,672.8,657.7,667.1
10/17/2023,668.9,672.4,655.3,668.4
10/18/2023,671.6,677.8,665.9,667.7
10/19/2023,662,676.3,660.5,670.6
